monster_id,monster_slug,url
839,abominable-yiti-neiges,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/839-abominable-yiti-neiges
384,aboub,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/384-aboub
2384,aboudbra-porteur,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/2384-aboudbra-porteur
2385,abrakadnuzar,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/2385-abrakadnuzar
2388,abrakanette-encapsule,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/2388-abrakanette-encapsule
2389,abrakildas-venerable,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/2389-abrakildas-venerable
2544,abrakine-sombre,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/2544-abrakine-sombre
2386,abraklette-fondant,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/2386-abraklette-fondant
4593,abrakleur-clair,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/4593-abrakleur-clair
1047,abrakleur-clair,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/1047-abrakleur-clair
1077,abrakleur-sombre,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/1077-abrakleur-sombre
4525,abrakne,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/4525-abrakne
650,abrakne,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/650-abrakne
651,abrakne-sombre,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/651-abrakne-sombre
992,abrakne-sombre-irascible,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/992-abrakne-sombre-irascible
47,abraknyde,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/47-abraknyde
173,abraknyde-ancestral,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/173-abraknyde-ancestral
2771,abraknyde-invoque,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/2771-abraknyde-invoque
989,abraknyde-irascible,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/989-abraknyde-irascible
919,abraknyde-malade,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/919-abraknyde-malade
253,abraknyde-sombre,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/253-abraknyde-sombre
4585,abraknyde-sombre,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/4585-abraknyde-sombre
991,abraknyde-sombre-irascible,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/991-abraknyde-sombre-irascible
254,abraknyde-venerable,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/254-abraknyde-venerable
2309,abrakroc-edente,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/2309-abrakroc-edente
2898,abrazif,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/2898-abrazif
